College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,Agricultural and Irrigation Engg.(SS),196.25,195.25,193.25,194.25,,,188.75,185.75,175.25
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,Bio Medical Engg(SS),198.25,197.5,197.25,196.5,,,193.0,191.75,188.0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,Civil Engineering,198.5,198.0,197.5,197.5,,,196.0,193.5,196.0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,Computer Science and Engg.(SS),199.0,198.75,199.0,197.75,,,193.5,190.5,193.33
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,Computer Science and Engg.,199.75,199.5,199.5,199.0,,,197.5,196.25,193.75
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,Electronics and Comm Engg.,200.0,199.75,199.75,199.25,,,198.25,197.0,190.25
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,Electrical and Elec. Engg.,199.25,199.0,198.5,198.75,,,196.5,197.0,193.25
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,Electronics and Comm Engg(SS),199.25,199.0,198.0,198.5,,,195.5,194.5,189.0
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,Geo-Informatics,196.75,196.0,194.0,194.75,,,188.75,186.25,
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,Industrial Engineering,196.5,196.0,195.5,194.25,,,186.75,184.0,
