College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING (SS),1248,1998.0,2390.0,1420.0,7177.0,3397.0,8937.0,22463.0,26147.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL ENGINEERING,2326,3227.0,6363.0,2527.0,6612.0,5193.0,7316.0,23541.0,43295.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),175,260.0,631.0,312.0,501.0,771.0,2940.0,3853.0,5838.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,29,111.0,388.0,67.0,196.0,172.0,551.0,2101.0,3779.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,218,332.0,789.0,368.0,962.0,870.0,1680.0,4067.0,3514.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,809,1297.0,2153.0,1046.0,2126.0,2085.0,5615.0,6509.0,5534.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540,722.0,853.0,724.0,1198.0,1684.0,3760.0,8916.0,11789.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,2648,3961.0,4374.0,2693.0,9158.0,4010.0,10811.0,22902.0,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,3983,5004.0,6580.0,4896.0,9213.0,7943.0,12535.0,29151.0,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),470,720.0,1661.0,856.0,880.0,1362.0,4894.0,8754.0,3569.0
